pig_ID	ADG_group	DMM	time
319	Low_ADG	1	1
300	High_ADG	3	2
301	High_ADG	4	2
302	High_ADG	4	2
303	Low_ADG	4	2
304	High_ADG	4	2
305	Low_ADG	4	2
306	Low_ADG	4	2
307	Low_ADG	3	2
308	Low_ADG	3	2
309	Low_ADG	3	2
310	High_ADG	4	2
311	High_ADG	4	2
312	High_ADG	4	2
313	High_ADG	3	2
314	Low_ADG	3	2
315	High_ADG	3	2
316	High_ADG	4	2
317	Low_ADG	4	2
318	Low_ADG	3	2
319	Low_ADG	2	2
305	Low_ADG	6	3
306	Low_ADG	6	3
318	Low_ADG	7	3
319	Low_ADG	5	3
315	High_ADG	7	3
314	Low_ADG	5	3
316	High_ADG	8	3
317	Low_ADG	7	3
310	High_ADG	7	3
311	High_ADG	8	3
313	High_ADG	7	3
312	High_ADG	5	3
304	High_ADG	7	3
302	High_ADG	5	3
300	High_ADG	7	3
301	High_ADG	7	3
303	Low_ADG	5	3
307	Low_ADG	5	3
309	Low_ADG	7	3
308	Low_ADG	5	3
305	Low_ADG	7	4
306	Low_ADG	8	4
318	Low_ADG	8	4
319	Low_ADG	8	4
315	High_ADG	7	4
314	Low_ADG	8	4
316	High_ADG	8	4
317	Low_ADG	7	4
310	High_ADG	8	4
311	High_ADG	8	4
313	High_ADG	7	4
312	High_ADG	8	4
304	High_ADG	7	4
302	High_ADG	8	4
300	High_ADG	7	4
301	High_ADG	7	4
303	Low_ADG	7	4
307	Low_ADG	8	4
309	Low_ADG	8	4
308	Low_ADG	7	4
